,ST_NUM,Street Name,Street Suffix,Zipcode,PTYPE,Owner,Property Value,Year Built,Year Remodeled
1,254 256,BENNINGTON,ST,2128.0,327,PEDRO LOPEZ LLC,700000,1989.0,2013.0
2,392 -398,CHELSEA,ST,2128.0,333,FAZIO  ENTERPRISES,814100,1997.0,
3,300  ,BENNINGTON,ST,2128.0,320,LAS PALMAS MARKET INC,220500,1914.0,2009.0
4,276 280,BENNINGTON,ST,2128.0,343, ROBERTO LOUIE   TS,391000,1930.0,2016.0
5,262 264,BENNINGTON,ST,2128.0,343,ROBERTO RITA,189000,1899.0,
6,27  ,SHELBY,ST,2128.0,332,CARUSO STEVEN CHARLES,268000,1925.0,
7,33  ,SHELBY,ST,2128.0,332,CARUSO STEVEN CHARLES,215000,1930.0,
8,296 A298,BENNINGTON,ST,2128.0,320,TRUONG NGHIA,488000,1899.0,2016.0
9,294  ,BENNINGTON,ST,2128.0,325,ROBERTO RITA M,112500,1899.0,1970.0
10,288  ,BENNINGTON,ST,2128.0,325,STEPHANIES LAND COMPANY INC,248000,1899.0,1981.0
11,282 286,BENNINGTON,ST,2128.0,320,SPINELLI RAVIOLI MFG CO INC,1723000,1899.0,1990.0
12,   ,E EAGLE,ST,2128.0,337,MNA  REAL  ESTATE  HOLDING,74500,0.0,
13,   ,E EAGLE,ST,2128.0,337,MNA  REAL  ESTATE  HOLDING,89300,0.0,
14,   ,PRINCETON,ST,2128.0,337,MNA  REAL  ESTATE  HOLDING,42300,0.0,
15,   ,PRINCETON,ST,2128.0,337,MNA  REAL  ESTATE  HOLDING,35700,0.0,
16,345 345R,PRINCETON,ST,2128.0,332,LAFACE AUGUSTUS,259000,1920.0,1970.0
17,   ,PRINCETON,ST,2128.0,316,MNA  REAL  ESTATE  HOLDING,446000,1982.0,1983.0
18,   ,PRINCETON,ST,2128.0,316,MNA  REAL  ESTATE  HOLDING,446000,1982.0,1983.0
19,2 4,EAGLE,SQ,2128.0,343,MNA  REAL  ESTATE  HOLDING,407000,1930.0,1982.0
20,30  ,SHELBY,ST,2128.0,332,LAFACE AUGUSTUS,465500,1910.0,1970.0
21,343 345,CHELSEA,ST,2128.0,319,SCHIRRIPA FRANK TS,353500,1899.0,1988.0
22,347 A347,CHELSEA,ST,2128.0,326,IMBRIANO URSULA,172500,1910.0,1986.0
23,359 361,CHELSEA,ST,2128.0,337,ROBERTO LOUIE,108000,0.0,
24,371  ,CHELSEA,ST,2128.0,342,THREE-71  CHELSEA STREET LLC,193500,1960.0,2016.0
25,325 329,BENNINGTON,ST,2128.0,333,GAVEGNANO HENRY J,516100,1950.0,2002.0
26,   ,BREMEN,ST,2128.0,337,GAVEGNANO HENRY J,26000,0.0,
27,404  ,BREMEN,ST,2128.0,332,NGO BINH C,87500,1899.0,1970.0
28,   ,BREMEN,ST,2128.0,337,LAR PROPERTY MANAGEMENT LLC,59800,0.0,
29,368  ,BREMEN,ST,2128.0,337,LAR PROPERTY MANAGEMENT LLC,46800,0.0,
30,98  ,PRESCOTT,ST,2128.0,332,50 LEBANON STREET REALTY,417000,1910.0,2003.0
31,   ,BELLE ISLE INLET, ,2128.0,387,HERTZ RLTY CORP,8558000,0.0,
32, ,WM F MCCLELLAN,HW,2128.0,465,CLEAR CHANNEL,662000,,
33,150  ,WM F MCCLELLAN,HW,2128.0,312,CUBE SMART  LP,11964500,1960.0,2004.0
34,   ,WM F MCCLELLAN,HW,2128.0,316,HORIZON/MCCLELLAN LLC,2617500,1979.0,
35,   ,CURTIS,ST,2128.0,420,SUNOCO PARTNERS MARKETING &,1944400,0.0,
36,605 ,CHELSEA,ST,2128.0,446,605 CHELSEA LLC,440100,1965.0,1968.0
37,545 ,CHELSEA,ST,2128.0,420,SUNOCO PARTNERS MARKETING &,1748700,,
38,525 ,CHELSEA,ST,2128.0,420,SUNOCO PARTNERS MARKETING &,1215400,,
39,441 445,CHELSEA,ST,2128.0,332,SUNOCO PARTNERS MARKETING &,994000,1960.0,
40,481  ,CHELSEA,ST,2128.0,316,SUNOCO PARTNERS MARKETING &,663200,1964.0,
41,   ,CHELSEA,ST,2128.0,420,SUNOCO PARTNERS MARKETING &,4112200,,
42,452  ,BREMEN,ST,2128.0,335,CJE REALTY LLC,321500,1950.0,
43,356 354,BENNINGTON,ST,2128.0,326,MCBENJC FAMILY LIMITED,349500,1950.0,1955.0
44,   ,BENNINGTON,ST,2128.0,326,YOUNG JOSEPH E ETAL,68000,1920.0,1983.0
45,336 344,BENNINGTON,ST,2128.0,317,JEVELI ERIC TS,884500,1903.0,1999.0
46,491 493,SARATOGA,ST,2128.0,319,DILIBERO NICOLA R SR TS,1893000,1970.0,1999.0
47,511 -515,SARATOGA,ST,2128.0,320,NEPTUNE COURIER REALTY LLC,820500,1905.0,2015.0
48,511 -515,SARATOGA,ST,2128.0,320,NEPTUNE COURIER REALTY LLC,820500,1905.0,
49,2 A,NEPTUNE,RD,2128.0,320,PALAVICINI VILMA,523500,1930.0,2008.0
50,402 430,BENNINGTON,ST,2128.0,387,DILIBERO NICOLA R LESSEE,1090000,0.0,
51,396  ,BENNINGTON,ST,2128.0,320,ORDONEZ  HECTOR D,53000,1935.0,2008.0
52,   ,WM F MCCLELLAN,HW,2128.0,317,VENUTI VITO J JR,155500,1960.0,
53,452  ,BENNINGTON,ST,2128.0,343,TRAN STEVEN,154500,1910.0,1970.0
54,442 450,BENNINGTON,ST,2128.0,465,TRAN STEVEN,1325500,1930.0,1970.0
55,415  ,WM F MCCLELLAN,HW,2128.0,300,MC-EB  REALTY  LLC,26714500,2014.0,
56,970  ,SARATOGA,ST,2128.0,337,KATZ ROBERT J,103200,0.0,
57,944 946,SARATOGA,ST,2128.0,407,SARATOGA STREET LLC,560500,1965.0,
58,830  ,SARATOGA,ST,2128.0,343,INTNATL ASSOC MACHINISTS,497000,1960.0,1990.0
59,144  ,ADDISON,ST,2128.0,316,BULGROUP COLORADO LLC,22430500,1950.0,2012.0
60,225  ,WM F MCCLELLAN,HW,2128.0,300,OPROCK BOSTON FEE LLC,51806500,1972.0,2009.0
61,285  ,WM F MCCLELLAN,HW,2128.0,337,OPROCK BOSTON FEE LLC,749500,0.0,
62,375  ,WM F MCCLELLAN,HW,2128.0,340,MCCLELLAN HIGHWAY LLP 375,9618000,1986.0,
63,804 808,SARATOGA,ST,2128.0,320,MAYA CECILIA,199000,1930.0,1975.0
64,   ,WORDSWORTH,ST,2128.0,465,DANILCHUK ERIC R,423500,0.0,
65,73  ,ADDISON,ST,2128.0,332,DANILCHUK ERIC R,619000,1940.0,1995.0
66,   ,ADDISON,ST,2128.0,332,DISTEFANO ROBERT J,219700,1960.0,
67,85  ,ADDISON,ST,2128.0,332,DANILCHUK ERIC R TS,205000,1960.0,
